シリアル,デバイスID,IMEI番号,ICCID,電話番号,利用状況,端末種類,起動アプリ,会社コード,会社名,勤務地名,訪問先名
JTM01B0000000006,6dfa985d9195da91,,,,,,CAERU AI,test,勤怠データ管理確認テスト,,
JM01BL021K153070,cbedfebf75650e6c,8.67969E+14,,,リユース,Jupiter mini,CAERU AI,itz,勤怠,,
JM01BL021K153069,32dfe9c1063fc3a0,8.67969E+14,,,新品,Jupiter mini,CAERU AI,test,勤怠データ管理確認テスト,,
JM01BL021K153067,e6200b50500517f0,8.67969E+14,,,新品,Jupiter mini,gps-pshift,g_tokyoas,株式会社東京建物アメニティサポート,,
JM01BL021K153077,11cb5bbd02d549da,8.67969E+14,8.98108E+18,2023173814,新品,Jupiter mini,,test,勤怠データ管理確認テスト,,
APPDEVELOP,17ee8eddc676ec8a,3.59851E+14,,2023145017,新品,Jupiter mini,,itz,勤怠,,
JM01BL021K153075,22aed01f0230996d,8.67969E+14,,,レンタル中,Jupiter mini,CAERU AI,,,,
JTM01B0000000015,805d033b89a718e0,8.66116E+14,,,新品,Jupiter mini,CAERU AI,test,勤怠データ管理確認テスト,,
JTM01B0000000003,37167e2e67affebf,8.66116E+14,8.98108E+18,2023186189,新品,Jupiter mini,CAERU AI,kjmt,鹿島建物総合管理株式会社,,
JM01BL021K153074,3cfb9200f81c53d1,8.67969E+14,,,新品,Jupiter mini,CAERU AI,itz,勤怠,,
JTM01B0000000004,c047ddc7a8a26f76,8.66116E+14,8.98108E+18,2023173811,新品,Jupiter mini,gps-pshift,g_itzsp,JupiterMINI サポート専用,,
JM01BL021K153068,1eec5a7782d6d0d8,8.67969E+14,,,リユース,Jupiter mini,gps-pshift,g_ktt,キッテングITZ専用,,
JTM01B00000000013,0d1424d372f29525,8.66116E+14,,,修理待ち,Jupiter mini,gps-pshift,g_light,㈱ライトクリーン,,
JM01BL021K153071,785a3b10bf646bbc,8.67969E+14,,2023173813,新品,Jupiter mini,CAERU AI,kjmt,鹿島建物総合管理株式会社,,
JTM01B0000000002,132132,1321465435,,,,Jupiter mini,,itz,勤怠,,
JM01BL021K153050,66fca7dca4782920,8.67969E+14,8.98108E+18,2023185634,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153065,8ba1008134b0c8f4,8.67969E+14,8.98108E+18,2023185638,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153056,eeef85c21046ea5b,8.67969E+14,8.98108E+18,2023185668,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153066,4d1664c6623b753f,8.67969E+14,8.98108E+18,2023185629,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153051,1c568b60c6b2b3a5,8.67969E+14,8.98108E+18,2023185639,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153063,b6547249e81a6cd8,8.67969E+14,8.98108E+18,2023185623,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153058,d5112c12a904bf70,8.67969E+14,8.98108E+18,2023185632,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153064,2190b18c1c13ab35,8.67969E+14,,,新品,Jupiter mini,,,,,
JM01BL021K153049,b3011156a43464c2,8.67969E+14,8.98108E+18,2023185636,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153054,eb3823cb56001816,8.67969E+14,8.98108E+18,2023185635,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153061,7d4312782b3001f4,8.67969E+14,8.98108E+18,2023185667,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
JM01BL021K153057,cc24b7e752dc20a5,8.67969E+14,8.98108E+18,2023185621,新品,Jupiter mini,gps-pshift,g_globcom,グローバルコミュニティ株式会社,,
